Date,Country,Series,Value
1927-04-01,US,Detrended,-0.05
1927-04-01,US,Levels,-0.470013583
1927-04-01,ZA,Detrended,-0.06
1927-04-01,ZA,Levels,0.047758884
1927-07-01,AU,Detrended,-0.03
1927-07-01,AU,Levels,1.051920893
1927-07-01,BE,Detrended,0.25
1927-07-01,BE,Levels,19.02932011
1927-07-01,CA,Detrended,-0.05
1927-07-01,CA,Levels,0.194726905
1927-07-01,CH,Detrended,-0.07
1927-07-01,CH,Levels,-1.032465871
1927-07-01,GB,Detrended,-0.09
1927-07-01,GB,Levels,-0.956770665
1927-07-01,NZ,Levels,-0.23593247
1927-07-01,SE,Detrended,-0.04
1927-07-01,SE,Levels,-0.624675044
1927-07-01,US,Detrended,-0.12
1927-07-01,US,Levels,-0.658179094
1927-07-01,ZA,Detrended,-0.02
1927-07-01,ZA,Levels,0.149707727
1927-10-01,AU,Detrended,0
1927-10-01,AU,Levels,1.19363559
1927-10-01,BE,Detrended,0.23
1927-10-01,BE,Levels,17.09362619
1927-10-01,CA,Detrended,-0.09
1927-10-01,CA,Levels,0.264616278
1927-10-01,CH,Detrended,-0.05
1927-10-01,CH,Levels,-0.730065466
1927-10-01,GB,Detrended,-0.05
1927-10-01,GB,Levels,-1.038277925
1927-10-01,NZ,Levels,-0.178383385
1927-10-01,SE,Detrended,-0.02
1927-10-01,SE,Levels,-0.508449325
1927-10-01,US,Detrended,-0.1
1927-10-01,US,Levels,-0.769359442
1927-10-01,ZA,Detrended,-0.01
1927-10-01,ZA,Levels,0.203452602
1928-01-01,AU,Detrended,0
1928-01-01,AU,Levels,1.251366139
1928-01-01,BE,Detrended,0.26
1928-01-01,BE,Levels,14.9145832
1928-01-01,CA,Detrended,-0.03
1928-01-01,CA,Levels,0.378440522
1928-01-01,CH,Detrended,-0.02
1928-01-01,CH,Levels,-0.450098891
1928-01-01,GB,Detrended,-0.02
1928-01-01,GB,Levels,-1.055766989
1928-01-01,NZ,Levels,-0.122569602
1928-01-01,SE,Detrended,0.02
1928-01-01,SE,Levels,-0.440575719
1928-01-01,US,Detrended,-0.09
1928-01-01,US,Levels,-0.817626415
1928-01-01,ZA,Detrended,-0.02
1928-01-01,ZA,Levels,0.199988103
1928-04-01,AU,Detrended,-0.09
1928-04-01,AU,Levels,1.170893342
1928-04-01,BE,Detrended,0.19
1928-04-01,BE,Levels,12.72725066
1928-04-01,CA,Detrended,-0.06
1928-04-01,CA,Levels,0.49877946
1928-04-01,CH,Detrended,0.01
1928-04-01,CH,Levels,-0.225879231
1928-04-01,GB,Detrended,-0.01
1928-04-01,GB,Levels,-1.041922124
1928-04-01,NZ,Levels,-0.088623422
1928-04-01,SE,Detrended,0
1928-04-01,SE,Levels,-0.454507973
1928-04-01,US,Detrended,-0.07
1928-04-01,US,Levels,-0.828212042
1928-04-01,ZA,Detrended,0.01
1928-04-01,ZA,Levels,0.135694822
1928-07-01,AU,Detrended,-0.08
1928-07-01,AU,Levels,0.921198521
1928-07-01,BE,Detrended,-0.02
1928-07-01,BE,Levels,10.67675645
1928-07-01,CA,Detrended,-0.04
1928-07-01,CA,Levels,0.584428507
1928-07-01,CH,Detrended,-0.01
1928-07-01,CH,Levels,-0.079950934
1928-07-01,GB,Detrended,-0.09
1928-07-01,GB,Levels,-1.044358999
1928-07-01,NZ,Detrended,-0.05
1928-07-01,NZ,Levels,-0.102824434
1928-07-01,SE,Detrended,0.01
1928-07-01,SE,Levels,-0.567389553
1928-07-01,US,Detrended,-0.01
1928-07-01,US,Levels,-0.83158234
1928-07-01,ZA,Detrended,0.04
1928-07-01,ZA,Levels,0.012373996
1928-10-01,AU,Detrended,0.03
1928-10-01,AU,Levels,0.495268257
1928-10-01,BE,Detrended,-0.06
1928-10-01,BE,Levels,8.817359304
1928-10-01,CA,Detrended,-0.03
1928-10-01,CA,Levels,0.592898968
1928-10-01,CH,Detrended,-0.02
1928-10-01,CH,Levels,-0.025664469
1928-10-01,GB,Detrended,-0.13
1928-10-01,GB,Levels,-1.087891687
1928-10-01,NZ,Detrended,-0.02
1928-10-01,NZ,Levels,-0.188067301
1928-10-01,SE,Detrended,-0.03
1928-10-01,SE,Levels,-0.768009535
1928-10-01,US,Detrended,-0.09
1928-10-01,US,Levels,-0.867075925
1928-10-01,ZA,Detrended,0
1928-10-01,ZA,Levels,-0.169530087
1929-01-01,AU,Detrended,0.02
1929-01-01,AU,Levels,-0.087408669
1929-01-01,BE,Detrended,-0.07
1929-01-01,BE,Levels,7.1324153
1929-01-01,CA,Detrended,-0.02
1929-01-01,CA,Levels,0.487009698
1929-01-01,CH,Detrended,0
1929-01-01,CH,Levels,-0.072023814
1929-01-01,GB,Detrended,-0.04
1929-01-01,GB,Levels,-1.184305472
1929-01-01,NZ,Detrended,-0.03
1929-01-01,NZ,Levels,-0.364336508
1929-01-01,SE,Detrended,0.01
1929-01-01,SE,Levels,-1.039483098
1929-01-01,US,Detrended,-0.02
1929-01-01,US,Levels,-0.971507154
1929-01-01,ZA,Detrended,-0.01
1929-01-01,ZA,Levels,-0.409696881
1929-04-01,AU,Detrended,0.04
1929-04-01,AU,Levels,-0.812296157
1929-04-01,BE,Detrended,-0.05
1929-04-01,BE,Levels,5.561599301
1929-04-01,CA,Detrended,0.03
1929-04-01,CA,Levels,0.238384025
1929-04-01,CH,Detrended,-0.01
1929-04-01,CH,Levels,-0.226332346
1929-04-01,GB,Detrended,-0.01
1929-04-01,GB,Levels,-1.335746955
1929-04-01,NZ,Detrended,-0.02
1929-04-01,NZ,Levels,-0.643514025
1929-04-01,SE,Detrended,-0.02
1929-04-01,SE,Levels,-1.357245327
1929-04-01,US,Detrended,-0.07
1929-04-01,US,Levels,-1.182631412
1929-04-01,ZA,Detrended,-0.03
1929-04-01,ZA,Levels,-0.706110536
1929-07-01,AU,Detrended,0.03
1929-07-01,AU,Levels,-1.663984021
1929-07-01,BE,Detrended,-0.05
1929-07-01,BE,Levels,4.033774777
1929-07-01,CA,Detrended,-0.01
1929-07-01,CA,Levels,-0.182561797
1929-07-01,CH,Detrended,-0.03
1929-07-01,CH,Levels,-0.492053104
1929-07-01,GB,Detrended,-0.03
1929-07-01,GB,Levels,-1.53307359
1929-07-01,NZ,Detrended,-0.01
1929-07-01,NZ,Levels,-1.033211244
1929-07-01,SE,Detrended,-0.07
1929-07-01,SE,Levels,-1.692218581
1929-07-01,US,Detrended,-0.01
1929-07-01,US,Levels,-1.534291912
1929-07-01,ZA,Detrended,-0.05
1929-07-01,ZA,Levels,-1.052658236
1929-10-01,AU,Detrended,-0.09
1929-10-01,AU,Levels,-2.618939115
1929-10-01,BE,Detrended,-0.06
1929-10-01,BE,Levels,2.492408756
1929-10-01,CA,Detrended,0
1929-10-01,CA,Levels,-0.792980532
1929-10-01,CH,Detrended,-0.05
1929-10-01,CH,Levels,-0.872469941
1929-10-01,GB,Detrended,0.01
1929-10-01,GB,Levels,-1.785090354
1929-10-01,NZ,Detrended,-0.02
1929-10-01,NZ,Levels,-1.542034019
1929-10-01,SE,Detrended,-0.03
1929-10-01,SE,Levels,-2.02500838
1929-10-01,US,Detrended,-0.05
1929-10-01,US,Levels,-2.056280176
1929-10-01,ZA,Detrended,-0.05
1929-10-01,ZA,Levels,-1.436166057
1930-01-01,AU,Detrended,-0.11
1930-01-01,AU,Levels,-3.636988451
1930-01-01,BE,Detrended,-0.07
1930-01-01,BE,Levels,0.915456532
1930-01-01,CA,Detrended,-0.04
1930-01-01,CA,Levels,-1.60079192
1930-01-01,CH,Detrended,-0.02
1930-01-01,CH,Levels,-1.361389002
1930-01-01,GB,Detrended,-0.02
1930-01-01,GB,Levels,-2.094365966
1930-01-01,NZ,Detrended,-0.03
1930-01-01,NZ,Levels,-2.168063143
1930-01-01,SE,Detrended,-0.08
1930-01-01,SE,Levels,-2.336841698
1930-01-01,US,Detrended,-0.02
1930-01-01,US,Levels,-2.755247514
1930-01-01,ZA,Detrended,-0.05
1930-01-01,ZA,Levels,-1.832933494
1930-04-01,AU,Detrended,-0.1
1930-04-01,AU,Levels,-4.651769649
1930-04-01,BE,Detrended,-0.08
1930-04-01,BE,Levels,-0.681438351
1930-04-01,CA,Detrended,0.01
1930-04-01,CA,Levels,-2.591493177
1930-04-01,CH,Detrended,-0.04
1930-04-01,CH,Levels,-1.944920648
1930-04-01,GB,Detrended,-0.1
1930-04-01,GB,Levels,-2.439942948
1930-04-01,NZ,Detrended,-0.06
1930-04-01,NZ,Levels,-2.898704212
1930-04-01,SE,Detrended,-0.1
1930-04-01,SE,Levels,-2.606446941
1930-04-01,US,Detrended,-0.05
1930-04-01,US,Levels,-3.611457137
1930-04-01,ZA,Detrended,-0.04
1930-04-01,ZA,Levels,-2.226675169
1930-07-01,AU,Detrended,-0.13
1930-07-01,AU,Levels,-5.595033114
1930-07-01,BE,Detrended,-0.1
1930-07-01,BE,Levels,-2.257897193
1930-07-01,CA,Detrended,-0.06
1930-07-01,CA,Levels,-3.716457677
1930-07-01,CH,Detrended,-0.05
1930-07-01,CH,Levels,-2.602596532
1930-07-01,GB,Detrended,-0.08
1930-07-01,GB,Levels,-2.786472291
1930-07-01,NZ,Detrended,-0.05
1930-07-01,NZ,Levels,-3.705852084
1930-07-01,SE,Detrended,-0.08
