date,regime,rolling_average,cpi_q_yoy,country
2014-07-01,1,7.943364948157571,6.674577100515178,IN
2014-10-01,0,7.932549728605674,4.050925645259373,IN
2015-01-01,0,7.722246594944726,5.272408122682104,IN
2015-04-01,0,7.445592273804503,5.09205986012542,IN
2015-07-01,0,7.1843819250881555,3.9488320029865465,IN
2015-10-01,0,7.000380144331224,5.339265865347631,IN
2016-01-01,0,6.767580674829139,5.258764512601299,IN
2016-04-01,0,6.557569416190908,5.666575655970796,IN
2016-07-01,0,6.309206989766244,5.16318899553887,IN
2016-10-01,0,6.030798525637005,3.7486802426805355,IN
2017-01-01,0,5.834402618335409,3.568596257631107,IN
2017-04-01,0,5.567498687852716,2.202072401189259,IN
2017-07-01,0,5.323033384952078,2.976341955551476,IN
2017-10-01,0,5.186124121454953,4.554707376177203,IN
2018-01-01,0,5.1536309536379115,4.594180587011265,IN
2018-04-01,0,5.167667368757031,4.790874441230697,IN
2018-07-01,0,5.0215031973268385,3.853755013407123,IN
2018-10-01,0,4.72364058015542,2.6040398283582844,IN
2019-01-01,0,4.463711565848116,2.464617069005315,IN
2019-04-01,0,4.2448273922674495,3.072084912079509,IN
2019-07-01,0,4.084742682396166,3.4728829030894914,IN
2019-10-01,0,4.173942131439652,5.834914626129106,IN
2020-01-01,0,4.243734440850443,6.668254310897925,IN
2020-04-01,0,4.317692827827675,6.57122759967006,IN
2020-07-01,0,4.465078814929804,6.8965517450291225,IN
2020-10-01,0,4.516358458985724,6.36485874646604,IN
2021-01-01,0,4.496778126633464,4.867157865556093,IN
2021-04-01,0,4.493123422487014,5.593481573041803,IN
2021-07-01,0,4.488727408118029,5.075268708159153,IN
2021-10-01,0,4.5520308625780235,5.014749331880419,IN
2022-01-01,0,4.690824811251406,6.344475231098778,IN
2022-04-01,0,4.9446419499613565,7.278415175388275,IN
2022-07-01,0,5.147851054321109,7.04052404274651,IN
2022-10-01,0,5.22609481365839,6.119582562922843,IN
2023-01-01,0,5.306696083500766,6.20620598385877,IN
2023-04-01,0,5.298489836431598,4.626749499847338,IN
2023-07-01,0,5.427025793395984,6.424474152694848,IN
2023-10-01,0,5.565305562518793,5.369635210814461,IN
2024-01-01,0,5.692781592664839,5.014137671926244,IN
2024-04-01,0,5.7844393350016485,4.905239758815694,IN
2024-07-01,0,5.822796622687506,4.240028656806638,IN
2024-10-01,0,5.812766301755057,5.634308207480143,IN
2025-01-01,0,5.674560908929113,3.9041464543790205,IN
1953-01-01,0,3.005484842200441,2.960519446263876,IT
1953-04-01,0,2.599771273623908,3.0270241431853417,IT
1953-07-01,0,2.9375583826364817,0.7486699270816466,IT
1953-10-01,0,3.22433774961205,1.0626975184548249,IT
1954-01-01,0,3.1748999743794704,1.5974515911119536,IT
1954-04-01,0,3.116527542290162,1.888781099430159,IT
1954-07-01,0,3.2035288360800465,4.246287355765488,IT
1954-10-01,0,3.4706819723664006,3.2597351412170683,IT
1955-01-01,0,3.880777600459818,3.0398430576690005,IT
1955-04-01,0,4.290298484972709,3.089593157864945,IT
1955-07-01,0,4.377864883674894,2.240320144824137,IT
1955-10-01,0,4.284966878162161,2.647657160098116,IT
